Item,Mean,Var,Mixed_Means,Mixed_Stds,Raw_Distrib,Discrete_Distrib,Sentence
165055:25,3.1,4.6899999999999995,[1.         4.49974887],[0.0007071067811865475  1.2077535526885375],[7  3  1  1  1  5  2  4  1  6],[0.4 0.1 0.1 0.1 0.1 0.1 0.1],"but then again you look at a ford or especially a chevy."
62411:39,3.727272727272727,4.016528925619834,[2.63000573 6.66922682],[0.7070775380053528  0.332688821618977],[7  3  4  1  7  3  6  3  1  3  3],[0.18181818 0.         0.45454545 0.09090909 0.         0.09090909 0.18181818],"and i don't think you could have done it fifty or a hundred years ago either."
28388:46,2.1818181818181817,1.9669421487603302,[1.37499991 4.33332373],[0.34232882046215946  0.33335078927502776],[4  2  2  4  1  5  1  1  1  2  1],[0.45454545 0.27272727 0.         0.18181818 0.09090909 0. 0.        ],"not only do i do p c type things like, uh, using lotus or word processors,"
48293:58,3.1818181818181817,6.694214876033058,[1.28571399 6.49999679],[0.3194389675044412  0.6123785325070413],[5  1  2  1  1  1  2  7  1  7  7],[0.45454545 0.18181818 0.         0.         0.09090909 0. 0.27272727],"i guess i have never heard of a, a robbery being foiled  or spoiled  because the person who 's being robbed  had a gun."
63853:64,2.6,2.2400000000000007,[1.72065053 4.66799469],[0.5022281658686425  0.33646863566532353],[2  5  2  1  1  2  3  4  5  1],[0.3 0.3 0.1 0.1 0.2 0.  0. ],"i don't know how, how soon they're going  to do it , or how organized it's going  to be ,"
164419:42,2.8,2.1600000000000006,[3.66969211 1.63723493],[0.9378876960037521  0.4077416391197531],[1  3  1  2  4  3  6  2  2  4],[0.2 0.3 0.2 0.2 0.  0.1 0. ],"huh. do you think they should be punished  at all, or, uh, like go to prison, uh,"
68972:52,4.4,3.2399999999999998,[5.39625548 2.01959931],[0.6743833721968517  0.6206360659750754],[5  5  6  5  3  2  6  4  1  7],[0.1 0.1 0.1 0.1 0.3 0.2 0.1],"i, you know, go to cleveland  to see them play, the indians or the red sox,"
57177:94,2.909090909090909,4.264462809917355,[1.42857647 5.49998307],[0.5150952210252124  0.3535878916957846],[6  5  5  1  1  3  6  1  1  2  1],[0.45454545 0.09090909 0.09090909 0.         0.18181818 0.18181818 0.        ],"and, uh, you know, whenever he was going to school , he was expecting  to  having  to wear, uh, a tie or a dress shirt everyday."
94853:37,3.8,4.76,[6.25019938 2.1690377 ],[0.3062803793990551  0.7574181756991623],[4  3  1  2  7  6  6  6  2  1],[0.2 0.2 0.1 0.1 0.  0.3 0.1],"you know, i wonder if that's a root problem or not,"
145587:30,4.3,4.010000000000001,[5.12498354 1.        ],[0.8970611635058167  0.0007071067811865475],[7  6  5  3  1  6  1  6  4  4],[0.2 0.  0.1 0.2 0.1 0.3 0.1],"and yours is at, you know, eighteen or nineteen percent."
26479:17,4.636363636363637,2.4132231404958677,[3.27078965 5.65569599],[0.639180546989591  0.7660403923752859],[4  3  7  5  7  5  3  4  6  5  2],[0.         0.09090909 0.18181818 0.18181818 0.27272727 0.09090909 0.18181818],"it's the thirty-five or forty thousand dollar one, whatever it is ,"
77160:37,2.9,2.69,[4.39781933 1.41130832],[0.5747656190121113  0.361199708228454],[2  5  4  1  1  5  3  2  5  1],[0.3 0.2 0.1 0.1 0.3 0.  0. ],"an awful lot of people know where it is , or have been there."
4758:85,2.888888888888889,6.320987654320986,[1.16665798 6.33324272],[0.26351859181570253  0.6668073862437516],[1  1  7  7  1  2  1  5  1],[0.55555556 0.11111111 0.         0.         0.11111111 0. 0.22222222],"and, i've come to the conclusion, and this is a pretty scary thought to me, even, that if a guy is convicted , or a gal is convicted , of a crime, rather than put them in prison, because prison's proven  not to work, just let them go."
173415:33,4.666666666666667,5.888888888888889,[3.00020961 7.        ],[1.3094333042989392  0.0007071067811865475],[2  7  7  1  7  4  2  1  5  6  7  7],[0.16666667 0.16666667 0.         0.08333333 0.08333333 0.08333333 0.41666667],"and, uh, i think either send them home or do something a little more interesting."
50432:162,3.0,3.090909090909091,[2.42822963 6.07550345],[0.8198875452267521  0.7961991376563035],[4  3  2  1  1  3  7  5  1  3  3],[0.27272727 0.09090909 0.36363636 0.09090909 0.09090909 0. 0.09090909],"it's, it's, uh, there, there is, there is, it 's an overall problem in, in, in this country understanding, uh, foreign cultures, or even accepting them."
170868:28,2.7,4.21,[1.         4.39976548],[0.0007071067811865475  1.1490466082124084],[2  4  1  7  1  1  1  4  5  1],[0.5 0.1 0.  0.2 0.1 0.  0.1],"if they're associated  with a college or a university, they're usually a pretty good bet."
149373:37,3.909090909090909,4.082644628099174,[2.59411872 6.25196188],[0.8539136952315443  0.3069947110106582],[6  6  4  3  3  1  6  1  7  4  2],[0.18181818 0.09090909 0.18181818 0.18181818 0.         0.27272727 0.09090909],"you know, i saw something  on c n n or on cable here a while ago that  showed some people that  had rabbits in apartments and in houses,"
125370:17,3.8461538461538463,5.822485207100592,[5.11094606 1.        ],[1.2669702399627278  0.0007071067811865475],[2  1  7  7  1  4  6  1  4  6  3  1  7],[0.30769231 0.07692308 0.07692308 0.15384615 0.         0.15384615 0.23076923],"has that been the cutlass or the sierra."
6724:57,3.8,2.96,[3.18368881 6.49983412],[0.8726340973945614  0.38860022134328737],[3  2  5  1  3  4  3  4  6  7],[0.1 0.1 0.3 0.2 0.1 0.1 0.1],"they could send all the people over to, uh, you know, one particular part of town or one particular project, that somebody had paid somebody to, you know, get supported  ,"
123561:35,3.8,6.36,[1.83338067 6.75001273],[0.6347222935391456  0.3061818361327745],[6  7  7  1  1  2  3  3  7  1],[0.3 0.1 0.2 0.  0.  0.1 0.3],"i've never been a big saints fan until the last year or two."
107053:97,3.5454545454545454,5.520661157024793,[1.50003332 5.99996492],[0.5401368747870816  0.4472946291334488],[7  2  5  3  1  6  6  1  1  6  1],[0.36363636 0.09090909 0.09090909 0.         0.09090909 0.27272727 0.09090909],"and then at the end of the, of the period, pay period, if she has any left , that much is for fun or entertainment."
107841:9,3.3,5.01,[4.83320842 1.        ],[1.1118951116449372  0.0007071067811865475],[4  7  4  1  7  1  4  3  1  1],[0.4 0.  0.1 0.3 0.  0.  0.2],"right or wrong i'm going  to cast a ballot"
106206:40,2.9,3.29,[2.44444954 7.        ],[0.8888952055126893  0.0007071067811865475],[1  7  4  1  4  1  2  2  3  4],[0.3 0.2 0.1 0.3 0.  0.  0.1],"i eat differently than what i could eat  at home or around here."
95853:89,2.090909090909091,3.173553719008264,[3.99961328 1.        ],[1.2249029132651938  0.0007071067811865475],[1  1  1  7  3  3  1  1  3  1  1],[0.63636364 0.         0.27272727 0.         0.         0. 0.09090909],"and, and i'm not sure but what some of the insurance claims aren't due to, uh, illnesses brought on by drug abuse or alcohol abuse."
141145:35,3.769230769230769,5.715976331360947,[2.0005729  6.60013136],[0.7078705197440573  0.3463981143013178],[2  1  7  6  1  6  4  1  2  3  2  7  7],[0.23076923 0.23076923 0.07692308 0.07692308 0.         0.15384615 0.23076923],"that is why we only do it once every five or ten years ."
68148:38,2.4,2.04,[1.33001268 3.97332901],[0.33541326020462586  0.5244041839312271],[3  2  1  1  1  4  1  2  5  4],[0.4 0.2 0.1 0.2 0.1 0.  0. ],"they just, uh, started it again, too just late, or, within the past few years."
77037:37,3.9,2.6900000000000004,[1.66554306 4.85285728],[0.3336416689337913  0.5937695793044973],[2  2  1  6  5  5  4  4  6  4],[0.1 0.2 0.  0.3 0.2 0.2 0. ],"i, i've only talked to one or two."
72536:50,2.7,4.61,[4.39965821 1.        ],[1.3116434632279719  0.0007071067811865475],[4  7  6  3  1  1  1  2  1  1],[0.5 0.1 0.1 0.1 0.  0.1 0.1],"i like, uh, i like readers digest, believe it or not."
43724:70,3.6,7.040000000000001,[6.2 1. ],[0.5291507346688455  0.0007071067811865475],[6  7  6  1  1  1  5  1  7  1],[0.5 0.  0.  0.  0.1 0.2 0.2],"if i ever get the hankering  to see something, i've got, i don't know, maybe about thirty or forty movies."
46484:121,4.1,4.29,[2.20047938 5.99352433],[0.5320248624401184  0.6402822916164478],[2  3  7  2  6  5  7  1  3  5],[0.1 0.2 0.2 0.  0.2 0.1 0.2],"but i was thinking boy, in dallas, if somebody asked me if there were places you wouldn't go  by yourself at night, i'd have  to set them down for about five or ten minutes  to list all the places out."
146409:30,4.375,6.484375,[2.00903354 6.75159452],[0.875541984051576  0.30553332050699705],[2  7  7  4  1  7  6  1],[0.25  0.125 0.    0.125 0.    0.125 0.375],"but it seems like there's only about four or five different ones,"
45097:54,5.5,3.65,[6.37804941 2.02706511],[0.490581269965443  0.7322125917063639],[1  6  7  6  3  7  6  7  7  5],[0.1 0.  0.1 0.  0.1 0.3 0.4],"now some people object during primaries,  having  to declare a party, whether republican or democrat."
15370:23,3.9,5.09,[5.99254634 1.79728967],[0.6405610945863749  0.5285322765461602],[1  2  2  3  5  1  6  7  7  5],[0.2 0.2 0.1 0.  0.2 0.1 0.2],"oh, i've done maybe four or five."
133422:57,2.888888888888889,4.765432098765432,[1.85898638 6.50071982],[0.7976369950513921  0.35358445141186934],[1  4  7  1  1  6  2  3  1],[0.44444444 0.11111111 0.11111111 0.11111111 0.         0.11111111 0.11111111],"um, and the, the severity of the deficit picture already limits the options available or limits the degree of tax cutting you can do  without, uh,  bringing on, on serious problems for the longer term."
18522:67,3.8,5.36,[5.99991598 1.59999168],[0.6325822790147146  0.34641208422060504],[1  2  5  5  7  7  2  2  1  6],[0.2 0.3 0.  0.  0.2 0.1 0.2],"they don't, they don't even start  growing until may, may or april, like after it's been raining for a few months."
38195:38,1.8888888888888888,2.5432098765432096,[6.    1.375],[0.0007071067811865475  0.49212600012991103],[1  1  6  1  3  1  1  2  1],[0.66666667 0.11111111 0.11111111 0.         0.         0.11111111 0.        ],"so, uh, does your husband ever use, uh, a laptop or a notebook."
17758:53,3.9,6.290000000000001,[2.00466941 6.75126039],[0.8217672915903709  0.3056707652378336],[7  1  3  7  1  7  1  4  2  6],[0.3 0.1 0.1 0.1 0.  0.1 0.3],"i haven't decided whether, whether i want  to play yet or not."
44437:69,1.6666666666666667,3.5555555555555554,[1. 7.],[0.0007071067811865475  0.0007071067811865475],[1  1  1  1  1  7  1  1  1],[0.88888889 0.         0.         0.         0.         0. 0.11111111],"i think they tend  to be more educated, much more, educated than, than africa or the latin american countries."
134989:25,4.090909090909091,6.082644628099174,[2.00398362 6.60066919],[0.8210082567956517  0.34631961361621394],[4  7  3  2  1  7  7  6  1  6  1],[0.27272727 0.09090909 0.09090909 0.09090909 0.         0.18181818 0.27272727],"i don't know if that took or not,"
94994:144,2.3,2.8099999999999996,[1.28219765 4.63485315],[0.31824775726346305  0.694097317475874],[4  1  4  1  1  2  6  1  1  2],[0.5 0.2 0.  0.2 0.  0.1 0. ],"uh, when my children were growing up , i actually had them, up and until they were in the preschool situation, i had them in a, in a home with a lady who  kept two or three kids,"
81953:37,3.727272727272727,6.925619834710744,[6.39856683 1.52116787],[0.8649799362424022  0.5697978364377541],[3  1  7  7  2  4  1  1  7  1  7],[0.36363636 0.09090909 0.09090909 0.09090909 0.         0. 0.36363636],"i mean you've got a little place on one side or the other,"
36975:25,3.090909090909091,6.082644628099174,[6.25       1.28571429],[0.30618703438011924  0.4948721653290491],[6  1  6  1  7  1  3  1  1  6  1],[0.54545455 0.         0.09090909 0.         0.         0.27272727 0.09090909],"if they can get the army, or the military to sway to their side, i think that, uh,  it will be on the way out eventually."
9174:38,1.5555555555555556,0.9135802469135803,[4.   1.25],[0.0007071067811865475  0.30618703436765493],[1  1  1  2  4  1  1  2  1],[0.66666667 0.22222222 0.         0.11111111 0.         0. 0.        ],"uh, what do you think individuals could do , or society could do  to alleviate this problem."
152457:56,4.5,5.65,[7.        2.8334125],[0.0007071067811865475  1.111869171874822],[5  2  1  7  1  7  4  7  4  7],[0.2 0.1 0.  0.2 0.1 0.  0.4],"but the other two i feel , uh, would give either you know, the plaintiff or for the defendant the the full benefit of the law."
20556:19,3.1818181818181817,4.87603305785124,[6.         1.57142857],[0.0007071067811865475  0.5150792391198881],[3  6  1  1  6  6  2  1  6  2  1],[0.36363636 0.18181818 0.09090909 0.         0.         0.36363636 0.        ],"she was there for two or three years before we got married ."
76508:96,2.4444444444444446,2.2469135802469133,[3.92365039 1.17422698],[0.5607918343061726  0.2682342139857524],[1  3  1  4  2  1  1  4  5],[0.44444444 0.11111111 0.11111111 0.22222222 0.11111111 0. 0.        ],"they seem  to be burdening the school system more and more with problems, any problems that a child might have , whether it's actually a school related thing or not."
61608:108,3.4,5.039999999999999,[1.66666752 5.99971647],[0.5271516216953644  0.5004533473623455],[3  2  2  1  7  1  5  6  1  6],[0.3 0.2 0.1 0.  0.1 0.2 0.1],"and when he's not right at the door in the morning  i really worry that something's happened to him, that somebody, he's got in a fight or, you know, somebody's hit him."
89690:14,2.7,4.41,[4.3997085 1.       ],[1.2330310992816937  0.0007071067811865475],[1  7  5  3  1  1  2  1  1  5],[0.5 0.1 0.1 0.  0.2 0.  0.1],"whatever you ask or scream  when i'm on the phone , the answer is no."
47787:16,4.545454545454546,6.24793388429752,[2.01121756 6.66807671],[0.9058472392179074  0.3329807692162777],[1  1  4  7  7  6  6  1  7  7  3],[0.27272727 0.         0.09090909 0.09090909 0.         0.18181818 0.36363636],"but a lot women die or shop at foley's."
127140:45,2.4,1.44,[1.52869219 3.77234328],[0.3791638461198192  0.29675487603811546],[4  1  1  4  2  2  1  2  3  4],[0.3 0.3 0.1 0.3 0.  0.  0. ],"and then there's kind of the, the branch manager level or marketing people that  kind of do that middle thing."
55123:44,5.2,3.3599999999999994,[4.00022377 7.        ],[1.0001307593009403  0.0007071067811865475],[3  5  2  7  7  6  7  5  7  3],[0.  0.1 0.2 0.  0.2 0.1 0.4],"so, i don't know how these changes are going  to help or hinder the team ,"
46504:48,3.0,4.4,[2. 7.],[0.5000004999999906  0.0007071067811865475],[2  3  2  7  2  2  3  7  1  1],[0.2 0.4 0.2 0.  0.  0.  0.2],"and i guess maybe that's the way tokyo is  too, or japan is  too."
152475:203,4.8,1.7600000000000002,[6.01766292 3.6333121 ],[0.4467059618954514  0.37559592830666483],[4  3  6  4  5  6  3  6  7  4],[0.  0.  0.2 0.3 0.1 0.3 0.1],"i, uh, i think there is more of an ability of you know, you know for selecting a jury, two different juries that  would most of the time come up with the same idea, uh, the same idea versus you know whether he is guilty or innocent."
152622:62,2.75,4.354166666666667,[5.48819689 1.37402457],[0.8023830297879685  0.34215095359322173],[2  4  1  1  1  6  2  1  5  2  1  7],[0.41666667 0.25       0.         0.08333333 0.08333333 0.08333333 0.08333333],"uh, my, my opinion of taxes is that we just send money to washington or to the state and they say they are going  to send some back,"
2700:39,2.923076923076923,3.6094674556213016,[4.38793891 1.40231833],[1.111773619324902  0.3534461337959911],[2  4  1  7  1  4  6  2  3  4  2  1  1],[0.30769231 0.23076923 0.07692308 0.23076923 0.         0.07692308 0.07692308],"but, you know, i don't know if they do or not."
72352:13,4.111111111111111,6.320987654320987,[6.19754881 1.49968315],[0.8275380051343623  0.35359717557438164],[2  4  7  6  7  1  7  1  2],[0.22222222 0.22222222 0.         0.11111111 0.         0.11111111 0.33333333],"believe it or not though the, all the women that  stay home are real busy when they are home ."
13389:122,2.111111111111111,2.0987654320987654,[1.         3.49981628],[0.0007071067811865475  0.7906859088631044],[1  1  4  5  2  1  1  1  3],[0.55555556 0.11111111 0.11111111 0.11111111 0.11111111 0. 0.        ],"i guess the, uh, biggest thing i f-, find  is the financial aspects, uh, particularly, the ability  of people to access, you know, your financial records or, for example your credit, uh, rating almost at will."
102873:33,2.0,1.4,[1.2863406  3.66436565],[0.3207954284214736  0.3369840935408785],[1  2  1  1  1  1  4  2  4  3],[0.5 0.2 0.1 0.2 0.  0.  0. ],"and, i don't know who  was here or whether jay called a friend."
84620:54,2.5,3.25,[3.99977621 1.        ],[1.0001307712539544  0.0007071067811865475],[5  4  3  2  1  1  6  1  1  1],[0.5 0.1 0.1 0.1 0.1 0.1 0. ],"and were they, uh, were they, were they obviously poor or depri-, you know."
97699:27,4.75,5.9375,[6.6        1.66666667],[0.3464108832008601  0.33333408333248943],[2  7  7  1  6  7  6  2],[0.125 0.25  0.    0.    0.    0.25  0.375],"and she's just started that like yesterday or the day before,"
1730:76,1.7272727272727273,1.471074380165289,[3.66666667 1.        ],[0.3333340845659758  0.0007071067811865475],[1  4  1  1  4  1  1  1  3  1  1],[0.72727273 0.         0.09090909 0.18181818 0.         0. 0.        ],"the one thing i do object to  about rap music is, is when it becomes militant , or, if it's, uh, violence oriented."
69804:37,1.7,0.41,[2.16664333 1.        ],[0.26354727693845864  0.0007071067811865475],[1  2  2  1  2  3  2  2  1  1],[0.4 0.5 0.1 0.  0.  0.  0. ],"so they have  to start  talking about it, or getting their act together about six months ahead to get in touch with everybody, because they're rather socially active too."
140767:28,1.4444444444444444,0.9135802469135802,[1.125 4.   ],[0.2338546557158955  0.0007071067811865475],[1  2  1  1  4  1  1  1  1],[0.77777778 0.11111111 0.         0.11111111 0.         0. 0.        ],"uh, she can't hear worth a darn or see very well,"
106579:87,4.7,5.01,[2.60896606 6.80207062],[0.7307026709083374  0.2817395426286975],[4  3  3  2  7  6  7  7  7  1],[0.1 0.1 0.2 0.1 0.  0.1 0.4],"so. it  became dangerous for us to keep  transporting her back and forth in the car because she was so wobbly and needed a walker or a wheel chair."
106986:61,3.8,3.3600000000000003,[4.49992006 1.        ],[0.9354787050182161  0.0007071067811865475],[6  1  3  3  5  3  1  6  6  4],[0.2 0.  0.3 0.1 0.1 0.3 0. ],"and we intend  to replace our other one with a much newer car in the next couple of years, or next year probably."
104835:34,5.1,1.89,[4.28571639 7.        ],[0.494874853913155  0.0007071067811865475],[5  7  5  7  4  5  3  4  4  7],[0.  0.  0.1 0.3 0.3 0.  0.3],"at the time it was still, oh, about forty or fifty cents a pound,"
115553:41,2.5454545454545454,3.338842975206612,[1.         3.83297774],[0.0007071067811865475  1.111962304209423],[1  2  7  1  1  4  4  1  1  3  3],[0.45454545 0.09090909 0.18181818 0.18181818 0.         0. 0.09090909],"you want  to go ahead and tell me your favorite team, or who you think  will be doing well this year."
112092:38,2.7,1.61,[1.6252303  3.72014564],[0.38794279178342284  0.5980616085614504],[4  2  1  3  3  2  5  2  1  4],[0.2 0.3 0.2 0.2 0.1 0.  0. ],"i don't feel that that should be any excuse at all or any deterrent ag-, uh, you know reason to not use capital punishment ."
153770:93,2.5555555555555554,4.469135802469136,[1.15197048 5.21331435],[0.25384685882995883  0.9730275654674588],[5  4  2  7  1  1  1  1  1],[0.55555556 0.11111111 0.         0.11111111 0.11111111 0. 0.11111111],"you know, it's like what  can you do  with that, that you can't do  in a self protection situation with like a seven or a twenty shot twelve."
139019:32,2.5454545454545454,3.15702479338843,[6.         1.77777778],[0.0007071067811865475  0.5555560108342927],[6  3  2  6  1  2  1  1  1  3  2],[0.36363636 0.27272727 0.18181818 0.         0.         0.18181818 0.        ],"it's not as humid. as houston, say, or atlanta,"
48372:46,2.4,3.2399999999999998,[4.99793044 1.28550469],[0.5798388438070758  0.3193688084193822],[1  4  6  2  5  1  1  2  1  1],[0.5 0.2 0.  0.1 0.1 0.1 0. ],"i don't know if that's a large percentage of, uh, crime or not."
